Type Name,Cyclomatic Complexity,Exception Handlers,Exception Throws,Method Length,Locals Variables,Object Instantiations,Stack Size,Number Of Fields,Number Of Methods,Nested Types,Properties,Depth In Tree,Total Toxicity
Convert,26.8,0,7,5.3575,0,1.33333333333333,473.200000000002,0,15.7,0,0,0,534
TypeBuilder,39.4,0,15.6666666666667,7.585,1.93333333333333,3,194.8,2.8,8.55,0,2.6,0,283
RuntimeType,81.6,0,14.6666666666667,10.075,1.8,4.83333333333333,132.2,2.2,7.55,2.5,3.2,0,273
String,72.6,0,13.6666666666667,1.07,0,1.16666666666667,167.2,0,9.4,0,0,0,272
Type,25.4,0,1.66666666666667,1.9125,0,0,197.6,0,9.45,0,6.3,0,245
AppDomain,28.8,0,2.66666666666667,4.0175,1.2,1.33333333333333,175,2.6,11.85,0,2.9,0,236
CultureData,37,1.66666666666667,0,8.785,0,0,143.6,23.3,6.9,0,7.3,0,235
DateTimeParse,129.2,0,0,26.1775,2.6,0,34.8,1.3,4.25,2,0,0,213
Task,38.6,0,6.33333333333333,2.415,1.13333333333333,0,128.8,3,6.8,3.5,3.3,0,199
ModuleBuilder,23.6,0,8,6.865,4.2,2.33333333333333,141.2,0,7.35,0,0,0,199
DateTimeFormatInfo,33.8,0,1.66666666666667,6.7775,2,0,117,8.4,6.05,0,5.6,0,188
Array,47.6,0,18.3333333333333,0,0,1.16666666666667,99.5999999999999,0,6.4,2.5,0,0,181
PermissionSet,70.4,0,0,11.5475,2.73333333333333,2.83333333333333,65.6,2.2,4.75,0,0,0,166
RegistryKey,26.8,3,4,5.8825,1.66666666666667,4.16666666666667,110,2.3,4.35,0,0,0,166
AppDomainSetup,23.4,0,0,2.075,0,0,125.6,1.3,4.75,0,4.7,0,164
FileStream,62,0,11,5.6525,1.46666666666667,2.5,66.6,3.1,3.2,0,0,0,160
AssemblyBuilder,26.6,0,10,7.735,1.46666666666667,8.33333333333333,95.1999999999999,0,5.2,0,1.5,0,160
Console,24.6,0,6,3.2925,1.06666666666667,2.66666666666667,102.6,2.2,5.85,1.5,2.7,0,156
Parallel,30.6,1.66666666666667,20.3333333333333,9.0025,3.66666666666667,6.33333333333333,70.8,0,2.15,4.5,0,0,155
DateTime,20.4,0,1.33333333333333,0,0,0,117,4.4,6.2,0,1.8,0,154
Decimal,7.4,0,0,0,0,1.16666666666667,133.8,1.8,6.55,0,0,0,153
StringBuilder,47.6,0,10.6666666666667,1.9675,0,0,80.4,1.1,4.55,0,0,0,151
IsolatedStorageFile,35.8,4,18.3333333333333,3.985,0,6.16666666666667,67.2,2.6,5.05,0,0,0,149
Marshal,8.2,0,5.66666666666667,0,0,0,121,1.1,10.2,0,0,0,149
TimeZoneInfo,49,4,5.33333333333333,4.15,1.53333333333333,2.5,54.8,4,4.45,3,0,0,143
TaskFactory,1.2,0,0,0,0,1.33333333333333,127.4,0,5,5.5,0,0,143
MethodBuilder,11.8,0,5.33333333333333,3.0875,1.4,3.66666666666667,100.4,3.1,3.95,0,1.9,0,137
Encoding,13.2,0,0,2.255,0,2,97.5999999999999,6.3,4.3,2,2.3,0,133
CompareInfo,23.4,0,8.33333333333333,0,0,0,83.4,1.9,3.35,0,0,0,122
Thread,0,0,0,0,0,0,105.6,1.3,7.25,0,1.6,0,117
NumberFormatInfo,5.8,0,2,0,0,0,92.8,3.6,3.7,0,3,0,112
UTF8Encoding,63,0,4,11.73,1.2,0,25.2,0,1.6,0,0,0,111
GenericTypeParameterBuilder,0,0,0,0,0,0,104,0,3.4,0,1.9,0,109
Assembly,1.2,0,0,0,0,0,102,0,4.1,0,1.5,0,108
Char,9.2,0,1.66666666666667,0,0,0,86.3999999999999,0,4.05,0,0,0,103
UnicodeEncoding,58.8,0,4,11.2675,4.46666666666667,0,18.8,0,1.35,0,0,0,103
EnumBuilder,0,0,0,0,0,0,96.3999999999999,0,3.1,0,1.6,0,101
RijndaelManagedTransform,33,0,7,15.025,7.33333333333333,1.16666666666667,27.6,2.4,1.15,0,0,0,99
ISO2022Encoding,59.8,0,0,9.03,0,0,23.6,0,1.1,1.5,0,1.25,99
IdnMapping,31,0,13.6666666666667,7.125,3.13333333333333,4.33333333333333,31.4,1.5,1.3,0,0,0,96
TypeBuilderInstantiation,0,0,0,0,0,0,91.1999999999999,0,3.1,0,1.8,0,96
CommonAcl,49.2,0,0,4.2025,2,1.33333333333333,30,0,2.2,1.5,0,0,94
Hashtable,16,0,3,3.6725,0,1.16666666666667,55.6,2.1,2.85,3,1.1,0,92
Directory,18.6,3.33333333333333,3,2.8675,2.66666666666667,1.83333333333333,53.4,0,3,0,0,0,91
Math,3.2,0,0,0,0,0,84.8,0,3.9,0,0,0,91
List<T>,10.8,0,0,0,0,0,73.2,0,3.65,0,0,0,90
UmAlQuraCalendar,2.4,0,0,10.6875,0,22.8333333333333,46.4,1.3,1.8,0,0,0,89
TimeSpan,0,0,0,0,0,0,81.6,2.5,3.15,0,1.2,0,89
DynamicMethod,11,0,3,1.4625,0,0,66.8,1.5,2.35,0,1.4,0,89
RuntimeMethodInfo,13.4,0,2.33333333333333,0,0,1.16666666666667,63.6,1.3,2.85,0,2.5,0,88
MethodCall,19,1.33333333333333,1.33333333333333,3.425,1.2,0,53.6,1.7,2.45,0,1.4,0,88
X509Certificate,2.6,0,0,1.205,0,0,78.4,1.2,3.2,0,0,0,88
ObjectReader,32.8,2.66666666666667,0,9.0925,0,0,33.6,3.2,1.95,0,0,0,87
OpCodes,0,0,0,18.3525,0,37.6666666666667,4,22.6,0,0,0,0,87
CultureInfo,11.8,0,0,0,0,2.33333333333333,60,3.5,4.1,0,3.4,0,87
Message,14.4,0,1.33333333333333,4.6625,0,0,57.6,2.8,3,0,1.4,0,87
SignatureHelper,16,0,2,1.665,0,0,61.2,0,2.8,0,0,0,86
SymbolType,5.6,0,1.33333333333333,1.245,0,1.16666666666667,72,0,2.65,0,1.1,0,86
MethodBase,2.8,0,0,0,0,0,76.6,0,3.05,0,3.5,0,85
